NaN,NaN,NaN,NaN,NaN,283400.615,5
20779,4414,0,0,283402829,283403.3239,0
20723,4379,0,0,283402832,283403.3247,0
20779,4414,0,0,283402836,283403.3256,0
20723,4379,0,0,283402839,283403.3264,0
20711,4399,0,0,283402847,283403.3274,0
20701,4422,0,0,283402854,283403.3346,0
20689,4447,0,0,283402862,283403.3427,0
20674,4480,0,0,283402869,283403.3509,0
20659,4515,0,0,283402877,283403.3592,0
20643,4553,0,0,283402884,283403.3668,0
20627,4595,0,0,283402892,283403.3747,0
20614,4632,0,0,283402899,283403.3787,0
20607,4668,0,0,283402907,283403.3869,0
20607,4699,0,0,283402914,283403.3949,0
20607,4732,0,0,283402922,283403.4031,0
20612,4760,0,0,283402929,283403.4105,0
20620,4790,0,0,283402937,283403.4186,0
20629,4820,0,0,283402944,283403.4271,0
20697,4883,0,0,283402949,283403.4352,0
20639,4849,0,0,283402952,283403.4359,0
20646,4876,0,0,283402959,283403.4389,0
20651,4897,0,0,283402967,283403.4469,0
20651,4913,0,0,283402974,283403.4551,0
20709,4958,0,0,283402979,283403.4632,0
20651,4923,0,0,283402982,283403.4645,0
20709,4958,0,0,283402987,283403.4704,0
20651,4923,0,0,283402990,283403.4716,0
20634,4932,0,0,283402997,283403.4782,0
20634,4932,0,0,283403005,283403.4863,0
20617,4929,0,0,283403012,283403.4942,0
20617,4929,0,0,283403020,283403.4991,0
20666,4963,0,0,283403024,283403.5064,0
20608,4929,0,0,283403027,283403.5073,0
20666,4963,0,0,283403032,283403.5144,0
20608,4929,0,0,283403035,283403.5154,0
20666,4963,0,0,283403039,283403.523,0
20608,4929,0,0,283403042,283403.5242,0
20670,4982,0,0,283403047,283403.5311,0
20612,4948,0,0,283403050,283403.5321,0
20664,4998,0,0,283403054,283403.5384,0
20606,4964,0,0,283403057,283403.5392,0
20600,4981,0,0,283403065,283403.5465,0
20646,5033,0,561,283403069,283403.556,0
20630,5053,0,725,283403077,283403.5631,0
20550,5035,0,888,283403079,283403.5668,0
20608,5069,0,888,283403084,283403.568,0
20574,5092,0,941,283403092,283403.5748,0
20485,5070,0,959,283403094,283403.5828,0
20543,5104,0,959,283403099,283403.5838,0
20448,5086,0,974,283403102,283403.5908,0
